id,price,area,rooms,energyRating,pricePerM2,bairro,priceOffset,lat,lon,url
1560585,430000,90,2,D,4777.00,alvalade,0.78,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1560585
1256045,624000,96,2,A,6500.00,alvalade,1.06,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1256045
185173,985000,137,3,A,7189.00,alvalade,1.17,38.75466580,-9.15121580,https://supercasa.pt/venda-apartamento-t3-lisboa/i185173
898916,990000,163,3,A,6073.00,alvalade,0.99,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i898916
1256195,1080000,183,3,A,5901.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1256195
898986,472500,63,1,A,7500.00,alvalade,1.22,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i898986
1453233,560000,63,1,A,8888.00,alvalade,1.45,38.75724000,-9.14093000,https://supercasa.pt/venda-apartamento-t1-lisboa/i1453233
1591569,2500000,552,7,E,4528.00,alvalade,0.74,38.74684000,-9.14106750,https://supercasa.pt/venda-moradia-t7-lisboa/i1591569
1325323,935000,183,4,C,5109.00,alvalade,0.83,38.75496000,-9.16756000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1325323
1455973,2500000,312,7,E,8012.00,alvalade,1.30,38.74684000,-9.14106750,https://supercasa.pt/venda-moradia-t7-lisboa/i1455973
1341262,405000,69,1,C,5869.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341262
1595995,590000,130,3,B,4538.00,alvalade,0.74,38.75957100,-9.13763300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1595995
1228665,350000,75,3,D,4666.00,alvalade,0.76,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1228665
1420873,2500000,552,6,E,4528.00,alvalade,0.74,38.75824700,-9.12984400,https://supercasa.pt/venda-moradia-t6-lisboa/i1420873
1341259,570000,128,2,C,4453.00,alvalade,0.72,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1341259
1376235,425000,71,1,C,5985.00,alvalade,0.97,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1376235
1023278,925000,147,2,A,6292.00,alvalade,1.02,38.75466580,-9.15121580,https://supercasa.pt/venda-apartamento-t2-lisboa/i1023278
1383117,960000,151,3,A,6357.00,alvalade,1.03,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1383117
1421139,795000,224,4,C,3549.00,alvalade,0.58,38.75957100,-9.13763300,https://supercasa.pt/venda-apartamento-t4-lisboa/i1421139
1383123,1325000,237,3,A,5590.00,alvalade,0.91,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1383123
1383116,945000,141,3,A,6702.00,alvalade,1.09,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1383116
1383120,1260000,214,3,A,5887.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1383120
1285926,2450000,634,8,D,3864.00,alvalade,0.63,38.75524583,-9.13042297,https://supercasa.pt/venda-moradia-t8-lisboa/i1285926
1555510,790000,157,3,E,5031.00,alvalade,0.82,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1555510
1560315,1390000,284,5,D,4894.00,alvalade,0.80,38.75690000,-9.14438000,https://supercasa.pt/venda-apartamento-t5-lisboa/i1560315
1560585,430000,90,2,D,4777.00,alvalade,0.78,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1560585
1256045,624000,96,2,A,6500.00,alvalade,1.06,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1256045
185173,985000,137,3,A,7189.00,alvalade,1.17,38.75466580,-9.15121580,https://supercasa.pt/venda-apartamento-t3-lisboa/i185173
898916,990000,163,3,A,6073.00,alvalade,0.99,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i898916
1256195,1080000,183,3,A,5901.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1256195
898986,472500,63,1,A,7500.00,alvalade,1.22,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i898986
1453233,560000,63,1,A,8888.00,alvalade,1.45,38.75724000,-9.14093000,https://supercasa.pt/venda-apartamento-t1-lisboa/i1453233
1591569,2500000,552,7,E,4528.00,alvalade,0.74,38.74684000,-9.14106750,https://supercasa.pt/venda-moradia-t7-lisboa/i1591569
1325323,935000,183,4,C,5109.00,alvalade,0.83,38.75496000,-9.16756000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1325323
1455973,2500000,312,7,E,8012.00,alvalade,1.30,38.74684000,-9.14106750,https://supercasa.pt/venda-moradia-t7-lisboa/i1455973
1341262,405000,69,1,C,5869.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341262
1595995,590000,130,3,B,4538.00,alvalade,0.74,38.75957100,-9.13763300,https://supercasa.pt/venda-apartamento-t3-lisboa/i1595995
1228665,350000,75,3,D,4666.00,alvalade,0.76,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1228665
