id,price,area,rooms,energyRating,pricePerM2,bairro,priceOffset,lat,lon,url
898916,990000,163,3,A,6073.00,alvalade,1.00,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i898916
898986,472500,63,1,A,7500.00,alvalade,1.24,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i898986
1256228,1488000,222,4,A,6702.00,alvalade,1.11,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i1256228
1256045,624000,96,2,A,6500.00,alvalade,1.07,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1256045
1341260,435000,73,1,C,5958.00,alvalade,0.98,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341260
1417684,2250000,672,9,E,3348.00,alvalade,0.55,38.75191000,-9.13034000,https://supercasa.pt/venda-moradia-t9-lisboa/i1417684
1341262,430000,69,1,C,6231.00,alvalade,1.03,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341262
1062482,2500000,367,8,D,6811.00,alvalade,1.12,38.75267190,-9.13049450,https://supercasa.pt/venda-moradia-t8-lisboa/i1062482
732130,950000,217,4,C,4377.00,alvalade,0.72,38.75498310,-9.16752750,https://supercasa.pt/venda-duplex-t4-lisboa/i732130
1214750,950000,252,4,C,3769.00,alvalade,0.62,38.74830000,-9.14945000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1214750
1402598,599000,115,2,C,5208.00,alvalade,0.86,38.75370000,-9.16707000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1402598
1437440,870000,227,4,C,3832.00,alvalade,0.63,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i1437440
1341259,590000,128,2,C,4609.00,alvalade,0.76,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1341259
1309296,985000,137,3,A,7189.00,alvalade,1.19,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1309296
1441604,498000,105,3,C,4742.00,alvalade,0.78,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1441604
786674,995000,145,2,A,6862.00,alvalade,1.13,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t2-lisboa/i786674
85192,985000,137,3,A,7189.00,alvalade,1.19,38.74881510,-9.14876130,https://supercasa.pt/venda-apartamento-t3-lisboa/i85192
84265,735000,109,2,A,6743.00,alvalade,1.11,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i84265
85305,1025000,143,2,A,7167.00,alvalade,1.18,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i85305
1285926,2450000,634,8,D,3864.00,alvalade,0.64,38.75524583,-9.13042297,https://supercasa.pt/venda-moradia-t8-lisboa/i1285926
85201,985000,169,3,A,5828.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i85201
1293254,377000,54,2,C,6981.00,alvalade,1.15,38.75383000,-9.14883000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1293254
1035039,985000,128,3,A,7695.00,alvalade,1.27,38.75326890,-9.14987490,https://supercasa.pt/venda-apartamento-t3-lisboa/i1035039
85418,735000,109,2,A,6743.00,alvalade,1.11,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i85418
1205091,1290000,176,4,B,7329.00,alvalade,1.21,38.76003300,-9.14008000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1205091
898916,990000,163,3,A,6073.00,alvalade,1.00,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i898916
898986,472500,63,1,A,7500.00,alvalade,1.24,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i898986
1256228,1488000,222,4,A,6702.00,alvalade,1.11,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i1256228
1256045,624000,96,2,A,6500.00,alvalade,1.07,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1256045
1341260,435000,73,1,C,5958.00,alvalade,0.98,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341260
1417684,2250000,672,9,E,3348.00,alvalade,0.55,38.75191000,-9.13034000,https://supercasa.pt/venda-moradia-t9-lisboa/i1417684
1341262,430000,69,1,C,6231.00,alvalade,1.03,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i1341262
1062482,2500000,367,8,D,6811.00,alvalade,1.12,38.75267190,-9.13049450,https://supercasa.pt/venda-moradia-t8-lisboa/i1062482
732130,950000,217,4,C,4377.00,alvalade,0.72,38.75498310,-9.16752750,https://supercasa.pt/venda-duplex-t4-lisboa/i732130
1214750,950000,252,4,C,3769.00,alvalade,0.62,38.74830000,-9.14945000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1214750
1402598,599000,115,2,C,5208.00,alvalade,0.86,38.75370000,-9.16707000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1402598
1437440,870000,227,4,C,3832.00,alvalade,0.63,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i1437440
1341259,590000,128,2,C,4609.00,alvalade,0.76,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1341259
1309296,985000,137,3,A,7189.00,alvalade,1.19,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1309296
1441604,498000,105,3,C,4742.00,alvalade,0.78,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1441604
786674,995000,145,2,A,6862.00,alvalade,1.13,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t2-lisboa/i786674
85192,985000,137,3,A,7189.00,alvalade,1.19,38.74881510,-9.14876130,https://supercasa.pt/venda-apartamento-t3-lisboa/i85192
84265,735000,109,2,A,6743.00,alvalade,1.11,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i84265
85305,1025000,143,2,A,7167.00,alvalade,1.18,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i85305
1285926,2450000,634,8,D,3864.00,alvalade,0.64,38.75524583,-9.13042297,https://supercasa.pt/venda-moradia-t8-lisboa/i1285926
85201,985000,169,3,A,5828.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i85201
1293254,377000,54,2,C,6981.00,alvalade,1.15,38.75383000,-9.14883000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1293254
1035039,985000,128,3,A,7695.00,alvalade,1.27,38.75326890,-9.14987490,https://supercasa.pt/venda-apartamento-t3-lisboa/i1035039
85418,735000,109,2,A,6743.00,alvalade,1.11,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i85418
1205091,1290000,176,4,B,7329.00,alvalade,1.21,38.76003300,-9.14008000,https://supercasa.pt/venda-apartamento-t4-lisboa/i1205091
1346476,590000,80,2,C,7375.00,alvalade,1.22,38.75550000,-9.15125000,https://supercasa.pt/venda-apartamento-t2-lisboa/i1346476
1026229,505000,122,3,C,4139.00,alvalade,0.68,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1026229
1025479,2150000,401,6,F,5361.00,alvalade,0.89,38.75812195,-9.13013546,https://supercasa.pt/venda-moradia-t6-lisboa/i1025479
85402,995000,145,2,A,6862.00,alvalade,1.13,38.74881510,-9.14876130,https://supercasa.pt/venda-duplex-t2-lisboa/i85402
78178,735000,109,2,A,6743.00,alvalade,1.11,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t2-lisboa/i78178
1110552,950000,176,4,B,5397.00,alvalade,0.89,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t4-lisboa/i1110552
1133530,1500000,242,5,B,6198.00,alvalade,1.02,38.74900681,-9.14159227,https://supercasa.pt/venda-apartamento-t5-lisboa/i1133530
1438446,498000,104,3,D,4788.00,alvalade,0.79,38.75431000,-9.14829000,https://supercasa.pt/venda-apartamento-t3-lisboa/i1438446
703729,735000,109,2,A,6743.00,alvalade,1.11,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t2-lisboa/i703729
501467,985000,169,3,B,5828.00,alvalade,0.96,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i501467
1265218,1080000,184,4,C,5869.00,alvalade,0.97,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i1265218
1104103,5650000,913,9,P,6188.00,alvalade,1.02,38.75032000,-9.13114000,https://supercasa.pt/venda-moradia-t9-lisboa/i1104103
1225941,995000,219,3,B,4543.00,alvalade,0.75,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1225941
501474,995000,145,2,B,6862.00,alvalade,1.13,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i501474
1120711,2280000,850,5,D,2682.00,alvalade,0.44,38.75845000,-9.12972000,https://supercasa.pt/venda-moradia-t5-lisboa/i1120711
1268975,465000,100,3,C,4650.00,alvalade,0.77,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1268975
501469,1540000,221,4,B,6968.00,alvalade,1.15,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t4-lisboa/i501469
85360,530000,70,1,A,7571.00,alvalade,1.25,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t1-lisboa/i85360
501470,1025000,147,2,B,6972.00,alvalade,1.15,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i501470
1268932,890000,158,3,C,5632.00,alvalade,0.93,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1268932
1049277,449900,85,2,D,5292.00,alvalade,0.87,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i1049277
1033100,315000,40,0,A,7875.00,alvalade,1.30,38.75578170,-9.14952860,https://supercasa.pt/venda-apartamento-t0-lisboa/i1033100
85197,1025000,147,2,A,6972.00,alvalade,1.15,38.74684000,-9.14106750,https://supercasa.pt/venda-duplex-t2-lisboa/i85197
1194708,449900,78,0,D,5767.00,alvalade,0.95,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-lisboa/i1194708
1033085,530000,80,1,A,6625.00,alvalade,1.09,38.75578170,-9.14952860,https://supercasa.pt/venda-apartamento-t1-lisboa/i1033085
1376384,398000,68,1,C,5852.00,alvalade,0.97,38.75550000,-9.15125000,https://supercasa.pt/venda-apartamento-t1-lisboa/i1376384
501468,735000,109,2,B,6743.00,alvalade,1.11,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t2-lisboa/i501468
1376386,430000,69,1,C,6231.00,alvalade,1.03,38.75550000,-9.15125000,https://supercasa.pt/venda-apartamento-t1-lisboa/i1376386
1383192,945000,139,3,A,6798.00,alvalade,1.12,38.75676000,-9.14240000,https://supercasa.pt/venda-apartamento-t3-lisboa/i1383192
1410821,595000,115,3,D,5173.00,alvalade,0.85,38.74684000,-9.14106750,https://supercasa.pt/venda-apartamento-t3-lisboa/i1410821
